year,univ_cd,gyoyuk_jusu_gb,gaeseol_hakgi_gb,gyoyuk_jusu_euiye_1,gyoyuk_jusu_euiye_2,gyoyuk_jusu_euihak_1,gyoyuk_jusu_euihak_2,gyoyuk_jusu_euihak_3,gyoyuk_jusu_euihak_4
2019-09-18 11:37:27.035000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,
2019-09-18 11:39:41.274000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,
2019-11-14 16:35:32.214000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,
2019-11-14 16:34:33.265000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,
2020-02-07 08:45:08.446000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,
2020-02-07 08:46:42.179000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,
2020-02-07 08:46:42.178000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,
2020-02-07 08:45:08.452000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,
2019,UNIV10,1,1,16,16,19,22,26,25
2019,UNIV10,1,2,16,16,20,19,21,22
2019,UNIV10,2,1,2,2,,,,
2019,UNIV10,2,2,2,2,,,,
2019-08-30 17:03:58.434000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,
2019-08-19 17:25:03.364000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,
2019-08-19 17:25:03.364000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,
2019-08-29 02:26:49.806000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,
2019-08-29 02:26:49.808000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,
2019-08-22 18:57:12.813000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,
2019-08-22 18:57:12.815000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,
2019-08-28 15:47:17.742000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,
2019-08-28 15:49:43.575000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,
2019-08-28 15:47:17.747000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,
2019-08-28 15:47:17.749000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,
2019-09-27 09:58:09.906000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,
2019-09-27 09:58:09.908000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,
2019-08-28 16:05:35.416000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,
2019-08-28 16:05:35.419000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,
2019-08-30 18:15:54.313000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,
2019-08-30 18:15:54.316000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,
2019-08-30 18:15:54.320000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,
2019-08-30 18:15:54.323000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,
2019-09-24 10:13:53.606000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,
2019-09-24 10:13:53.611000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,
2019-10-24 10:13:33.082000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,
2019-10-24 10:13:33.082000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,
2019-09-27 09:58:09.910000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,
2019-09-27 09:58:09.912000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,
2020-02-03 10:49:27.444000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,
2019-08-09 15:11:21.549000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,
2019-08-09 15:11:21.552000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,
2019-08-09 15:11:21.554000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,
2019-08-09 15:11:21.556000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,
2019-08-16 09:51:42.947000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,,,
2019-08-16 09:51:42.949000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,,,
