year,univ_cd,deungrok_gb,namyeo_gb,inwon_euiye_11,inwon_euiye_12,inwon_euiye_21,inwon_euiye_22,inwon_euihak_11,inwon_euihak_12,inwon_euihak_21,inwon_euihak_22,inwon_euihak_31,inwon_euihak_32,inwon_euihak_41,inwon_euihak_42,inwon_tot,inwon_woiguk
2019-08-29 09:28:09.881000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,,,,,,,,,
2019-08-29 09:15:11.557000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,,,,,,,,,
2019-08-29 09:15:11.559000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,,,,,,,,,
2019-08-29 09:12:06.724000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,,,,,,,,,
2019-08-29 09:12:06.724000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,,,,,,,,,
2019-08-30 10:58:32.603000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,,,,,,,,,
2019-08-30 10:58:32.606000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,,,,,,,,,
2019-08-30 10:58:32.608000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,,,,,,,,,
2019-08-30 10:58:32.610000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,,,,,,,,,
2019-08-30 10:42:17.618000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,,,,,,,,,
2019-08-30 10:42:17.618000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,,,,,,,,,
2019-10-01 16:46:17.526000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,,,,,,,,,
2019-08-30 20:18:05.752000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,
2019-08-30 20:18:05.754000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,
2019-08-30 20:13:04.001000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,
2019-08-30 20:13:04.008000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,
2019-08-30 20:13:04.004000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,
2019-08-30 20:13:04.011000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,
2019-08-30 20:03:38.401000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,
2019-08-30 20:03:38.401000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,
2019-08-30 20:16:01.203000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,
2019-08-30 20:16:01.206000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,,,,,,,,,
2019-09-03 15:59:53.528000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,
2019-09-03 15:59:53.531000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,
2019-09-03 15:59:53.533000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,
