year,univ_cd,gyosil_seq,gyosil_gb,inwon_jeonim_tot_gyosu,inwon_jeonim_tot_bugyosu,inwon_jeonim_tot_jogyosu,inwon_jeonim_male_tot,inwon_jeonim_female_tot,inwon_jeonim_tot_tot,inwon_bongyo,inwon_bijeonim_tot,inwon_jeonim_female_jogyosu,inwon_jeonim_female_bugyosu,inwon_jeonim_male_jogyosu,inwon_bi_euihakgwa,inwon_jeonim_male_gyosu,inwon_jeonim_female_gyosu,inwon_jeonim_male_bugyosu,inwon_bijeonim_imsang,inwon_bijeonim_yeongu,inwon_bijeonim_gita
2020-09-08 12:36:20.681000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:30:31.597000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2019,UNIV05,36,36,2,1,1,3,1,4,3,0,1,0,0,0,2,0,1,0,0,0
2020-09-08 12:36:20.666000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:36:20.681000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:36:20.666000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:34:58.510000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:36:20.681000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2019,UNIV05,45,45,127,69,87,220,63,283,233,0,32,15,55,23,111,16,54,0,0,0
2020-09-08 12:36:20.666000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2019,UNIV05,4,4,4,1,3,4,4,8,8,0,2,1,1,0,3,1,0,0,0,0
2020-09-08 12:40:13.624000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:31:21.578000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:36:20.666000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2019,UNIV05,5,5,5,0,0,4,1,5,4,0,0,0,0,2,4,1,0,0,0,0
