year,univ_cd,janghak_gb,suhye_inwon_tot_euihak,suhye_amt_tot_euihak,suhye_inwon_tot_euiye,suhye_amt_tot_euiye,euiye_bigo,euihak_bigo
2021-08-27 14:00:47.698000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,15,18,,
2020,UNIV40,1,4,5,1,2,3,6
2020,UNIV40,2,10,11,7,8,9,12
2020,UNIV40,3,16,17,13,14,15,18
2021-09-07 13:34:51.056000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,
2021-09-07 13:34:51.040000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,
2021-09-07 13:58:47.135000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,
2021-08-26 16:39:22.655000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,
2021-09-28 14:41:53.833000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,
2020,UNIV03,2,169,793177,,,,
2020,UNIV03,3,36,74611,,,,
2021-09-23 10:55:24.627000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,
2021-09-23 10:55:24.630000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,
2021-09-23 10:55:24.632000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,
2021-09-24 17:38:38.253000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,
2021-09-24 17:38:38.253000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,
2021-09-24 17:38:38.268000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,
2021-09-27 22:59:43.422000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,
2021-09-27 22:59:43.422000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,
2021-09-27 22:59:43.422000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,
2021-09-30 15:24:27.758000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,
2021-09-30 15:24:27.760000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,
2021-09-30 15:24:27.762000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,
