year,univ_cd,hwaldong_cnt,ins_ip
2019,UNIV14,4,
2019,UNIV05,3,
2021-09-03 17:17:59.541000,YYYY-MM-DD HH24:MI:SS.FF,univ24,
2019,UNIV19,12,
2021-04-23 13:27:02.049000,YYYY-MM-DD HH24:MI:SS.FF,univ40,
2021-05-06 21:45:08.623000,YYYY-MM-DD HH24:MI:SS.FF,univ09,
2021-06-22 10:12:02.674000,YYYY-MM-DD HH24:MI:SS.FF,univ11,
2021-06-21 10:10:59.750000,YYYY-MM-DD HH24:MI:SS.FF,univ11,
2021-06-22 10:12:02.672000,YYYY-MM-DD HH24:MI:SS.FF,univ11,
2019,UNIV16,7,
2021-05-18 10:52:12.534000,YYYY-MM-DD HH24:MI:SS.FF,univ37,
2021-05-18 10:52:12.536000,YYYY-MM-DD HH24:MI:SS.FF,univ37,
2019,UNIV03,13,
2021-04-23 10:21:27.995000,YYYY-MM-DD HH24:MI:SS.FF,univ22,
