year,univ_cd,upmu_gb,inwon_gita,inwon_tot,inwon_jeonggyu,inwon_bijeonggyu
2020-01-10 14:22:23.718000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,
2020-01-10 14:23:39.023000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,
2020-01-10 14:24:44.884000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,
2020-01-10 14:25:41.317000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,
2020-01-10 14:27:21.436000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,
2020-01-17 14:34:08.285000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,
2020-01-30 15:42:35.477000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,
2020-01-17 14:34:08.285000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,
2020-01-30 15:43:05.045000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,
2020-01-30 15:32:52.826000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,
2020-01-17 14:34:08.300000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,
2020-01-17 14:34:08.300000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,
2020-01-17 14:34:42.321000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,
2020-01-30 15:33:12.720000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,
2020-01-08 09:59:18.836000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,
2020-01-08 09:58:58.519000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,
2020-01-08 09:58:58.519000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,
2020-01-08 09:59:18.836000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,
2020-02-03 10:56:02.625000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,
2020-02-03 10:55:56.074000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,
2020-01-10 11:08:35.585000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,
2020-01-16 10:31:12.991000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,
2020-01-16 10:31:12.994000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,
2020-01-16 10:31:12.997000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,
2020-01-16 10:56:06.262000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,
2020-01-16 10:56:06.264000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,
2020-01-16 10:31:13.003000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,
2020-01-16 10:31:13.005000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,
2020-01-16 10:56:06.266000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,
2020-01-16 10:56:06.269000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,
2019-07-15 11:11:28.021000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,
2019-07-15 11:11:28.067000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,
2019-07-15 11:11:28.067000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,
2019-07-15 11:11:28.067000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,
2019-07-15 11:11:28.067000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,
2019-07-15 11:11:28.067000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,
2019-08-06 11:33:02.533000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,
2019-08-06 11:33:02.548000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,
2019-08-06 11:33:02.548000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,
2019-08-06 11:33:02.548000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,
2019-08-06 11:33:02.548000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,
2019-08-06 11:33:02.548000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,
2019-08-06 11:33:02.548000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,
2019-08-06 11:33:02.564000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,
2019-08-06 11:33:02.564000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,
2019-07-26 14:30:22.826000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,
2019-08-07 23:13:00.923000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,
2019-08-07 23:13:00.926000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,
2019-08-07 23:13:33.119000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,
2019-08-07 11:26:07.355000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,
2019-08-07 23:13:33.121000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,
2019-08-07 23:13:00.928000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,
2019-08-07 11:27:17.879000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,
2019-08-05 08:48:07.021000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
